run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,view_history,task,correct_response,accuracy,screen_id,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version,study_id,session_id,group,question_order,block,correct
6,1,"""","""","""","""","""",image-keyboard-response,21,30583,0.0-3.0-2.0-1.5,"""",427,img/heart_left.png,f,"""",practice,f,1,"""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",html-keyboard-response,22,31584,0.0-3.0-2.0-2.5,"""",null,CORRECT!,null,"""","""","""","""",feedback,2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,23,32337,0.0-3.0-2.0-0.6,"""",null,img/fixation.png,null,"""",fixation,"""","""","""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,24,32942,0.0-3.0-2.0-1.6,"""",603,img/flower_left.png,f,"""",practice,j,0,"""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",html-keyboard-response,25,33944,0.0-3.0-2.0-2.6,"""",null,INCORRECT!,null,"""","""","""","""",feedback,2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,26,35696,0.0-3.0-2.0-0.7,"""",null,img/fixation.png,null,"""",fixation,"""","""","""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,27,36318,0.0-3.0-2.0-1.7,"""",608,img/flower_left.png,j,"""",practice,j,1,"""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",html-keyboard-response,28,37319,0.0-3.0-2.0-2.7,"""",null,CORRECT!,null,"""","""","""","""",feedback,2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,29,38824,0.0-3.0-2.0-0.8,"""",null,img/fixation.png,null,"""",fixation,"""","""","""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,30,39393,0.0-3.0-2.0-1.8,"""",555,img/heart_right.png,f,"""",practice,j,0,"""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
