run_id,condition,success,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,group,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,task,question_order,view_history,correct_response,accuracy,screen_id,block,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
28,1,"""",image-keyboard-response,66,265037,0.0-9.0-1.7,"""","""","""",EASY,"""","""","""","""",671.2000000476837,img/heart_right.png,j,response,"""","""",j,1,"""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,67,265788,0.0-9.0-0.8,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,68,266416,0.0-9.0-1.8,"""","""","""",EASY,"""","""","""","""",626,img/flower_left.png,j,response,"""","""",j,1,"""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,69,267420,0.0-9.0-0.9,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,70,267901,0.0-9.0-1.9,"""","""","""",EASY,"""","""","""","""",479.60000002384186,img/flower_right.png,j,response,"""","""",f,0,"""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",html-keyboard-response,71,271408,0.0-10.0,"""","""","""",EASY,"""","""","""","""",3506.399999976158,"<p>You responded correctly on 90% of the trials.</p>
      <p>Your average response time was 639ms.</p>
      <p>Press any key to begin Block 2!</p>",j,debrief,"""","""","""","""","""","""","2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",html-button-response,72,272990,0.0-11.0,"""","""","""",EASY,"""","""","""","""",1579.2999999523163,"Block 2",0,"""","""","""","""","""","""","""","2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,73,276499,0.0-12.0-0.0,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,74,277049,0.0-12.0-1.0,"""","""","""",EASY,"""","""","""","""",548.6999999284744,img/flower_right.png,f,response,"""","""",f,1,"""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,75,278553,0.0-12.0-0.1,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",2,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
